title,view_count,like_count,channel_name,published
"[#톡쏘능] ⭐수능 화이팅⭐ ""이런 학생 처음 봐요"" 일타 강사 정승제를 울린 전교 꼴등⚡ 아무리 공부해도 성적이 오르지 않는 이유는?! #정승제 | #티처스 2회",3160975,24843,채널에이드: 채널A Drama & Enjoy,2023-11-15 09:00:40+00:00
"[#톡쏘능] ⭐수능 화이팅⭐ ""이런 학생 처음 봐요"" 일타 강사 정승제를 울린 전교 꼴등⚡ 아무리 공부해도 성적이 오르지 않는 이유는?! #정승제 | #티처스 2회",3160975,24843,채널에이드: 채널A Drama & Enjoy,2023-11-15 09:00:40+00:00
[#톡쏘능] 시험범위 착각한 학생의 뒤늦은 고백😢 눈물 뚝! 조정식 쌤이 알려주는 7일의 전사 벼락치기 꿀팁💥 | #티처스 3회,1712437,12773,채널에이드: 채널A Drama & Enjoy,2023-11-21 09:00:22+00:00
[#톡쏘능] 🚨쌤이 태블릿PC사줄게! 정승제가 공약까지 건 전교 회장의 수학 만점 프로젝트💥 | #티처스 4회,1185594,7945,채널에이드: 채널A Drama & Enjoy,2023-11-28 09:00:36+00:00
[#톡쏘능] 정식T도 학생도 엄마도 울었다😲 반항 최고조 사춘기 아들은 성적을 올릴 수 있을까? | #티처스 6회,848007,8019,채널에이드: 채널A Drama & Enjoy,2023-12-12 09:00:40+00:00
[#톡쏘능] ♥나한테 뽀뽀한 학생은 네가 처음이야♥ 일타강사 조정식에게 뽀뽀한 의대 지망생?! | #티처스 7회,535937,5623,채널에이드: 채널A Drama & Enjoy,2023-12-19 09:00:37+00:00
[#톡쏘능] 오답노트는 다꾸가 아닙니다🚨 민사고 지망했던 학생이 성적 몰락한 이유는?🔥 | #티처스 8회,721610,5003,채널에이드: 채널A Drama & Enjoy,2023-12-26 09:00:19+00:00
"[#톡쏘능] ""성적 분석 안 하겠습니다"" 사상 초유 정식T의 솔루션 거부 사태! 정시 핑계로 공부 손 놓은 예비 고3;; | #티처스 11회",2387443,15225,채널에이드: 채널A Drama & Enjoy,2024-01-16 09:00:19+00:00
[#톡쏘능] 미국 명문대 출신 엄마와 일타 강사 조정식의 숨 막히는 기싸움💥 | #티처스 13회,3122110,23232,채널에이드: 채널A Drama & Enjoy,2024-01-31 09:00:19+00:00
[#톡쏘능] ※예비 고1 주목※ 중학교 내신은 100점 모의고사는 5등급? 고입 앞둔 쌍둥이를 위한 티처스의 겨울방학 플랜★ | #티처스 14회,1297159,7637,채널에이드: 채널A Drama & Enjoy,2024-02-07 09:00:27+00:00
[#톡쏘능] 완벽한 딸을 망치는 건 엄마?💥😲 간섭왕 엄마를 향한 조정식T의 일침🚨 | [Re: open] 성적을 부탁해 티처스 15회,270729,1651,채널에이드: 채널A Drama & Enjoy,2024-07-03 09:01:00+00:00
[#톡쏘능] 역대급 노베이스 하위 4% 재수생💥 50일 만에 수학 8등급에서 5등급 가능할까? | [Re: open] 성적을 부탁해 티처스 16회,237630,1891,채널에이드: 채널A Drama & Enjoy,2024-07-10 09:00:28+00:00
"[#톡쏘능] ""내 체력은 썩어 남아 도냐?""💥 학생의 불량한 태도에 역대급으로 화난 조정식T🔥 결국 하차 선언.. | [Re: open] 성적을 부탁해 티처스 17회",529031,3404,채널에이드: 채널A Drama & Enjoy,2024-07-17 09:00:23+00:00
[#톡쏘능] 중요한 시기에 책이나 읽으라니💢일타강사 조정식의 조언을 받아들일 수 없는 영어선생님 엄마! | [Re: open] 성적을 부탁해 티처스 18회,321781,2270,채널에이드: 채널A Drama & Enjoy,2024-07-24 09:00:23+00:00
[#톡쏘능] 이제는 심리 치료까지 하는 조정식!? 프로 바둑 기사를 꿈꿨던 엄마 껌딱지 ADHD 학생의 놀라운 변화! | [Re: open] 성적을 부탁해 티처스 19회,588348,4693,채널에이드: 채널A Drama & Enjoy,2024-07-31 09:00:46+00:00
[#톡쏘능] 대학 수학까지 선행하는 중2 IQ 139 천재 소녀✨ 역대급 모범생 등장에 눈에서 꿀 떨어지는 승제쌤과 정식쌤🍯 | #티처스 20회,1945826,12256,채널에이드: 채널A Drama & Enjoy,2024-08-07 09:00:15+00:00
[#톡쏘능] 태어나 보니 할아버지가 병원장👨🏻‍⚕️현실판 스카이캐슬 가족에게 정승제가 날린 일침🔥 | #티처스 21회,726154,5069,채널에이드: 채널A Drama & Enjoy,2024-08-14 09:00:40+00:00
[#티처스] 전교 1등 엄마들만 알고 있는 대치동 학군지 자녀 교육 꿀팁?? | 입시맘 EP.01,60889,638,채널에이드: 채널A Drama & Enjoy,2024-09-03 10:00:52+00:00
