title,view_count,like_count,channel_name,published
[#티처스] S대 조교까지 총동원 한 정승제의 긴급 솔루션★ 매일 사무실로 출근해서 공부하라!  | 성적을 부탁해 티처스 16 회,124821,1038,채널아하: 채널A Health & Asset,2024-07-08 11:40:10+00:00
[#티처스] 정식T의 분노 대폭발! 먼저 포기하는 학생 태도에 사상 최초 솔루션 중단♨ | 성적을 부탁해 티처스 17 회,91946,657,채널아하: 채널A Health & Asset,2024-07-15 11:14:15+00:00
[#티처스] 야구선수란 꿈을 접고 체대 입시 준비하는 고2! 하지만 실기도 내신도 모두 9등급인 상태?! | [Re: open] 성적을 부탁해 티처스 17회,55290,318,채널아하: 채널A Health & Asset,2024-07-15 11:17:57+00:00
[#티처스] 극상위권 중3 딸의 과학고 도전을 반대하는 엄마! 과학고 테스트 결과는? | 성적을 부탁해 티처스 18 회,343540,1589,채널아하: 채널A Health & Asset,2024-07-22 11:41:15+00:00
[#티처스] 장풍T의 과학고 면접 솔루션은 ★키워드★ 과학 천재 도전학생은 과학고에 갈 수 있을까? | 성적을 부탁해 티처스 18 회,563318,3859,채널아하: 채널A Health & Asset,2024-07-22 11:45:24+00:00
[#티처스] 엄마 없으면 공부를 못 하는 고1!? 정식T의 특단의 솔루션★ 눈물의 결과는? | [Re: open] 성적을 부탁해 티처스 19회,31228,186,채널아하: 채널A Health & Asset,2024-07-28 12:33:13+00:00
[#티처스] 엄마가 없으면 불안한 ADHD 학생의 힘겨운 영어 80점 도전기! 결과에 눈물 흘린 조정식(ㅠㅠ)  |  [Re: open]  성적을 부탁해 티처스 19 회,222991,1765,채널아하: 채널A Health & Asset,2024-07-29 11:28:36+00:00
[#티처스] 고3 수학 박살내는 상위 0.01% 천재 중학생의 고민! ＂최상위권들이랑 경쟁하고 싶어요＂  | 성적을 부탁해 티처스 20 회,626022,3333,채널아하: 채널A Health & Asset,2024-08-05 11:25:34+00:00
"[#티처스] ""전국형 자사고가 목표인데 학군지 이사 가야 할까요?＂ 중2 천재 소녀를 위한 티처스 군단의 열띤 토론! | 성적을 부탁해 티처스 20 회",203984,1296,채널아하: 채널A Health & Asset,2024-08-05 11:33:40+00:00
[#티처스] 할아버지 병원 물려받기 위해 억지로 하는 의대 준비... 현실은 수학 40점? | 성적을 부탁해 티처스 21 회,150822,790,채널아하: 채널A Health & Asset,2024-08-12 12:33:22+00:00
[#티처스] ＂학원 전부 끊으세요!＂ 사교육 강요하는 부모에 승제T 특단의 조치♨ 솔루션의 결과는? | 성적을 부탁해 티처스 21 회,594995,3028,채널아하: 채널A Health & Asset,2024-08-12 12:45:20+00:00
"[#티처스] 귀농한 부모님에 불만 가득한 시골 1등 딸! 승제T의 팩폭, ＂환경 탓할 자격 없어! | 성적을 부탁해 티처스 22 회",133823,713,채널아하: 채널A Health & Asset,2024-08-19 11:17:49+00:00
[#티처스] ＂대0동 살면 더 잘 했을 거야＂ 불만 가득한 시골 전교 1등♨의 태도에 정식T은 폭발했다!? | 성적을 부탁해 티처스 22 회,396057,1970,채널아하: 채널A Health & Asset,2024-08-19 11:24:33+00:00
[#티처스] ＂이 성적으로 의대 못 가!＂ 의대 지망생 수시 파이터의 충격적인 현실 | 성적을 부탁해 티처스 23 회,91078,480,채널아하: 채널A Health & Asset,2024-08-26 11:40:01+00:00
[#티처스] 의대 가려면 지금처럼 공부하면 안 된다! 도전학생을 위한 티처스의 ★맞춤형 의대 입시 전략★ | 성적을 부탁해 티처스 23 회,263788,1385,채널아하: 채널A Health & Asset,2024-08-26 11:51:51+00:00
[#티처스] 고입 전 불안한 중학생 주목★ 승제T의 수학 만점 솔루션! ＂생각하면서 풀어라＂ | 성적을 부탁해 티처스 24 회,74304,442,채널아하: 채널A Health & Asset,2024-09-02 11:16:36+00:00
[#티처스] 고입 전 불안한 중학생 주목★ 승제T의 수학 만점 솔루션! ＂생각하면서 풀어라＂ | 성적을 부탁해 티처스 24 회,74304,442,채널아하: 채널A Health & Asset,2024-09-02 11:16:36+00:00
