date,count
2023-07-27,3
2023-10-17,2
2023-10-18,2
2023-10-19,1
2023-10-20,5
2023-11-05,3
2023-11-06,2
2023-11-10,1
2023-11-12,2
2023-11-15,1
2023-11-27,1
2023-12-03,1
2023-12-04,1
2023-12-15,1
2023-12-17,1
2023-12-18,2
2023-12-25,1
2023-12-31,1
2024-01-08,1
2024-01-14,1
2024-01-15,1
2024-01-22,3
2024-01-29,4
2024-02-05,2
2024-03-02,1
2024-04-05,1
2024-04-26,1
2024-05-03,1
2024-06-02,1
2024-06-05,1
2024-06-07,1
2024-06-09,1
2024-06-11,1
2024-06-17,1
2024-06-18,3
2024-06-19,1
2024-06-24,1
2024-06-30,2
2024-07-01,3
2024-07-06,3
2024-07-07,4
2024-07-08,3
2024-07-12,1
2024-07-14,3
2024-07-15,1
2024-07-18,1
2024-07-19,2
2024-07-20,1
2024-07-21,5
2024-07-22,4
2024-07-26,1
2024-07-27,2
2024-07-28,3
2024-07-29,3
2024-08-04,2
2024-08-05,5
2024-08-09,1
2024-08-10,3
2024-08-11,4
2024-08-12,4
2024-08-17,1
2024-08-18,5
2024-08-19,4
2024-08-24,2
2024-08-25,3
2024-08-26,3
2024-08-31,1
2024-09-01,5
2024-09-02,1
2024-09-03,2
