title,view_count,like_count,channel_name,published
[티저]  🔥참가자 모집🔥 공부 마스터 정승제와 함께하는 끝판왕 에듀 예능 | 성적을 부탁해 : 티처스,20495,172,play 채널A,2023-07-27 11:03:52+00:00
[티저]  🔥참가자 모집🔥 공부 마스터 정승제와 함께하는 끝판왕 에듀 예능 | 성적을 부탁해 : 티처스,20495,172,play 채널A,2023-07-27 11:03:52+00:00
[티저]  🔥참가자 모집🔥 공부 마스터 정승제와 함께하는 끝판왕 에듀 예능 | 성적을 부탁해 : 티처스,20496,172,play 채널A,2023-07-27 11:03:52+00:00
[티처스📖] 대수능 D-30 | 30일 동안 영어 성적 올리려면?,406537,11357,play 채널A,2023-10-17 09:00:25+00:00
[티처스🪄] 대수능 D-30 | 인강 완강해야 할까요?,633221,20021,play 채널A,2023-10-17 09:30:28+00:00
"[티처스📖] 6, 9모 성적이 수능점수인가요?",401477,10562,play 채널A,2023-10-18 07:45:00+00:00
[티처스📖] 정승제 사생팬이란?,546173,22588,play 채널A,2023-10-18 07:45:02+00:00
[#티처스 외전] 내말이 맞다이👊🏻 | 11월 5일 저녁 7시 50분 채널A 첫 방송,1230948,13088,play 채널A,2023-10-19 03:11:15+00:00
[티처스📖] 수능은 인생에서 얼마나 중요한가요?,940768,23374,play 채널A,2023-10-20 07:00:21+00:00
[티처스📖] 공부하라고 팩폭해주세요!,990355,30394,play 채널A,2023-10-20 07:15:01+00:00
[티처스📖] 찍을 번호 하나만 추천해주세요,376166,12836,play 채널A,2023-10-20 07:30:05+00:00
[티처스📖] 수능날 옷 추천해주세요,920946,30813,play 채널A,2023-10-20 07:45:03+00:00
[티처스📖] 수능날 저메추 해주세요,740464,27622,play 채널A,2023-10-20 08:00:10+00:00
🔴 [#티처스] 정승제x조정식 선생님과 공부할 사람!🙋🏻‍ 공부와 성적이 고민인 중고등학생들을 위한 성적을 부탁해 티처스📖,1271130,12506,play 채널A,2023-11-05 11:00:09+00:00
[#방과후보충수업] 무지성 단어장 암기? 절대 NO🔥 영단어는 📌의미 확장법📌으로 외우세요 | 성적을 부탁해 티처스 1 회,283505,3449,play 채널A,2023-11-05 12:18:25+00:00
[#방과후보충수업] 무지성 단어장 암기? 절대 NO🔥 영단어는 📌의미 확장법📌으로 외우세요 | 성적을 부탁해 티처스 1 회,283505,3449,play 채널A,2023-11-05 12:18:25+00:00
대치동 아이들의 한 달 학원비 대.공.개!  대치맘 토크를 본 조정식의 일침♨ | 성적을 부탁해 티처스 1 회,592422,2050,play 채널A,2023-11-06 11:08:38+00:00
괜찮아 영어는 원래 DOG판이야★ 편견을 깨주는 조정식의 영어 듣기 꿀TIP | 성적을 부탁해 티처스 1 회,51202,451,play 채널A,2023-11-06 11:09:04+00:00
[#방과후보충수업] 이걸 다 맞았다고👀? MC들도 피해 갈 수 없는 📝실력 검정 고사📝의 놀라운 결과! | 성적을 부탁해 티처스 2 회,676363,3196,play 채널A,2023-11-10 11:08:57+00:00
칭찬이 필요해👀,6145229,90170,play 채널A,2023-11-12 14:27:59+00:00
하위권 학생의 허점💥,1790546,28881,play 채널A,2023-11-12 14:29:44+00:00
To. 고생한 너희들에게 (feat. 공부기 수능 부적) | 성적을 부탁해 티처스📖,217991,2182,play 채널A,2023-11-15 05:02:50+00:00
공부 습관도 완벽💯 우등생 도전학생의 수학 허점💡 성적이 안 올랐던 이유는? #정승제 #티처스 | 성적을 부탁해 티처스 4 회,467170,3197,play 채널A,2023-11-27 11:01:19+00:00
[#방과후보충수업] '순공'의 뜻은 무엇일까요? 공부 관련 신조어 QUIZ TIME! | 성적을 부탁해 티처스 5 회,263259,1397,play 채널A,2023-12-03 12:52:59+00:00
티처스 최초 솔루션 중도 포기? 도전학생의 무단결석에 머리끝까지 화난 정승제! #자퇴 #티처스 | 성적을 부탁해 티처스 5 회,576098,3755,play 채널A,2023-12-04 11:20:39+00:00
조정식쌤 강의듣고 연세대 감 #티처스,759948,20412,play 채널A,2023-12-15 08:24:13+00:00
[#방과후보충수업] 수학 시험 시간이 항상 부족한 학생들 주목♨ 맞췄다고 끝이 아니다? | 성적을 부탁해 티처스 7 회,87021,482,play 채널A,2023-12-17 12:13:33+00:00
정식T가 포착한 도전학생의 허점은? 다 푼 시험지를 버리는 도전학생 | 성적을 부탁해 티처스 7 회,1185093,5746,play 채널A,2023-12-18 11:14:15+00:00
도전학생의 허점을 100% 파악한 티처스의 솔루션! 사소한 디테일이 차이를 만든다♨ #공부법 #티처스 | 성적을 부탁해 티처스 7 회,521439,3718,play 채널A,2023-12-18 11:32:29+00:00
머리는 좋은데 방법이 잘못됐다? 실력 검정 고사에서 발견된 희망! | 성적을 부탁해 티처스 8 회,207102,663,play 채널A,2023-12-25 11:10:49+00:00
고집 부리면 성적 안 올라,3303385,53965,play 채널A,2023-12-31 12:48:24+00:00
영어 수준 바닥! 단어를 외워도 해석 못 하는 진짜 이유는? | 성적을 부탁해 티처스 10 회,218324,1753,play 채널A,2024-01-08 11:26:59+00:00
[#방과후보충수업 미방분] 진짜 극상위권은 문제 풀이 방법도 다르다! 성적별 수학 공부 방법 | 성적을 부탁해 티처스 11 회,59797,370,play 채널A,2024-01-14 12:44:49+00:00
아버지 한숨 푹! 도전학생의 성적에는 어떤 일이? | 성적을 부탁해 티처스 11 회,36834,159,play 채널A,2024-01-15 11:02:15+00:00
전국 상위권 오빠는 공부법도 다르다! 극상위권으로 가는 공부 방법 | 성적을 부탁해 티처스 12 회,1160710,7566,play 채널A,2024-01-22 11:06:01+00:00
낮은 성적! 타고난 지능 탓일까? IQ와 성적 상승률의 오해 | 성적을 부탁해 티처스 12 회,275524,1800,play 채널A,2024-01-22 11:20:57+00:00
낮은 성적! 타고난 지능 탓일까? IQ와 성적 상승률의 오해 | 성적을 부탁해 티처스 12 회,275524,1800,play 채널A,2024-01-22 11:20:57+00:00
아빠와 1:1 과외 수업! 남다른 클래스의 도전학생의 공부 | 성적을 부탁해 티처스 13 회,538564,1317,play 채널A,2024-01-29 11:32:52+00:00
즉석 모의 면접 개최! 언론 3사 올 패스 현무의 면접 코칭 | 성적을 부탁해 티처스 13 회,121191,1050,play 채널A,2024-01-29 11:34:24+00:00
가라않지 않는 화♨ 공부 몰입감이 너무 강한 도전학생 | 성적을 부탁해 티처스 13 회,149334,723,play 채널A,2024-01-29 11:36:16+00:00
0점도 만들어낼 수 있다?! 학원 교육에 대한 걱정 | 성적을 부탁해 티처스 13 회,214992,1037,play 채널A,2024-01-29 11:44:37+00:00
J 공부법 복붙! 즉흥형 동생의 성적 유지 비법 | 성적을 부탁해 티처스 14 회,12803,69,play 채널A,2024-02-05 11:00:32+00:00
