title,view_count,like_count,channel_name,published
＂내 병원 줄게＂ 할아버지의 의대 사랑! but 진짜 꿈은 따로 있는 도전학생 | 성적을 부탁해 티처스 21 회,400232,2025,play 채널A,2024-08-11T12:37:41Z
"[#티처스] ""전국형 자사고가 목표인데 학군지 이사 가야 할까요?＂ 중2 천재 소녀를 위한 티처스 군단의 열띤 토론! | 성적을 부탁해 티처스 20 회",203984,1296,채널아하: 채널A Health & Asset,2024-08-05T11:33:40Z
[#톡쏘능] 대학 수학까지 선행하는 중2 IQ 139 천재 소녀✨ 역대급 모범생 등장에 눈에서 꿀 떨어지는 승제쌤과 정식쌤🍯 | #티처스 20회,1945826,12256,채널에이드: 채널A Drama & Enjoy,2024-08-07T09:00:15Z
[#티처스] ＂이 성적으로 의대 못 가!＂ 의대 지망생 수시 파이터의 충격적인 현실 | 성적을 부탁해 티처스 23 회,91078,480,채널아하: 채널A Health & Asset,2024-08-26T11:40:01Z
[#밥친구] 딸을 못 믿는 엄마?! 나노 단위로 공부 확인하는 엄마에게 던진 조정식의 일침!💥 | [Re: open] 성적을 부탁해 티처스 15회,871675,6353,채널A WORLD,2024-07-01T13:00:13Z
[#밥친구] 티처스에 등장한 IQ 139 소녀✨ 학군지 입성을 둔 치열한 토론! | 성적을 부탁해 티처스 20회,96723,668,채널A WORLD,2024-08-11T13:00:14Z
티처스 군단을 깜짝 놀라게 한 공부 새내기의 성적은?! | [Re: open] 성적을 부탁해 티처스 19회,139717,567,play 채널A,2024-07-29T11:06:28Z
[#톡쏘능] 태어나 보니 할아버지가 병원장👨🏻‍⚕️현실판 스카이캐슬 가족에게 정승제가 날린 일침🔥 | #티처스 21회,726154,5069,채널에이드: 채널A Drama & Enjoy,2024-08-14T09:00:40Z
지울 수 없는 사교육의 흔적! 솔루션 중단 선언한 이유는?! | 성적을 부탁해 티처스 21 회,253982,1329,play 채널A,2024-08-11T12:31:09Z
전국 상위권 오빠는 공부법도 다르다! 극상위권으로 가는 공부 방법 | 성적을 부탁해 티처스 12 회,1160710,7566,play 채널A,2024-01-22T11:06:01Z
"※깜놀※ 토플은 거뜬, 고등 수학은 6바퀴째?! 티처스에 등장한 찐천재 | 성적을 부탁해 티처스 20 회",912068,4197,play 채널A,2024-08-04T13:03:32Z
과학고 입시 준비로 영어는 뒷전인 도전학생! 정식T와 100점 가능?! | [Re: open] 성적을 부탁해 티처스 18회,359886,2265,play 채널A,2024-07-21T12:36:08Z
정식T가 포착한 도전학생의 허점은? 다 푼 시험지를 버리는 도전학생 | 성적을 부탁해 티처스 7 회,1185093,5746,play 채널A,2023-12-18T11:14:15Z
[#티처스] 24시간 초밀착 엄마와 수학 공포증 딸! 과연 수학 울렁증을 극복하고 목표 점수 100점에  도달할 수 있을까?📖 | [Re: open] 성적을 부탁해 티처스 15회,506427,4662,play 채널A,2024-06-30T12:20:00Z
"[#톡쏘능] ""내 체력은 썩어 남아 도냐?""💥 학생의 불량한 태도에 역대급으로 화난 조정식T🔥 결국 하차 선언.. | [Re: open] 성적을 부탁해 티처스 17회",529031,3404,채널에이드: 채널A Drama & Enjoy,2024-07-17T09:00:23Z
공부 8개월 만에 고1 수학 섭렵?! 천재성 보이는 도전학생 | [Re: open] 성적을 부탁해 티처스 19회,320341,1280,play 채널A,2024-07-29T11:05:53Z
[#티처스요약본] 조정식이 탐내는 1등 며느릿감(?) 수학 빼고 올A 전교 회장 등판✨ | 티처스 4회,1203964,7969,play 채널A,2024-04-05T08:00:28Z
"[#밥친구] 티처스 군단이 눈여겨본 인재의 등장?!😮 극상위권 도전학생, 과학고 갈 수 있을까? [Re: open] 성적을 부탁해 티처스 18회",279186,1921,채널A WORLD,2024-07-28T13:00:29Z
