title,view_count,like_count,channel_name,published
[#금쪽상담소] 환갑인 배도환에게 매일 결혼을 강요하는 엄마 | 오은영의 금쪽 상담소 147 회,35786,228,play 채널A,2024-08-29T12:44:15Z
[#오은영리포트 결혼지옥] 금쪽같은 내 아들 이유 모를 분노 오래전 금 간 엄마와 아들 사이 -강자 부부 3-  #엠뚜루마뚜루 #볼꼬양 MBC240819방송,565730,2590,엠뚜루마뚜루 : MBC 공식 종합 채널,2024-08-20T03:00:35Z
"♨충격 실화♨ 세대 차이 났던 부부, 남편의 불륜 상대가 내 엄마였다?! | 오은영의 금쪽 상담소 141 회",12016,62,play 채널A,2024-07-19T12:16:19Z
"♨잠시만요♨ 타인의 행복을 향하다 보면, 자신을 잃어버린다! 일침 날리는 오 박사  | 오은영의 금쪽 상담소 145 회",16036,126,play 채널A,2024-08-16T12:23:37Z
"[#에이콕] ""우리가 뭐가 문제죠?!🤷!"" 말대꾸에 말 자르기 시전까지?! 🔥부글🔥 오은영 박사님 화나게 만든 역대급 의뢰인들|#이창훈#강원래 #윤기원 #금쪽상담소",888652,6548,채널에이드: 채널A Drama & Enjoy,2024-04-26T05:00:35Z
남에게 잘 보이려 할수록 타인은 지옥이 된다?🔥 타인민감성이 높은 사람의 특징! | 오은영의 금쪽 상담소,1331805,20049,play 채널A,2022-10-10T09:00:24Z
"""아무것도 즐겁지 않아요"" 화려한 성공 뒤에 숨겨진 위너 송민호의 불행과 아픔 [오은영의 금쪽 상담소]  24 회",3756836,43796,play 채널A,2022-03-30T09:09:23Z
"그당시 대한민국을 웃고 울렸던... 대한민국이 낳은 공룡, 최홍만 스토리 몰아보기",119,4,잡생각🌟,2024-09-02T01:07:57Z
"[#밥친구] 구혜선, 그녀를 둘러싼 논란과 진실! 끊임없이 증명하려 노력했던 이유는? | 오은영의 금쪽 상담소 134 회",80685,773,채널A WORLD,2024-06-06T13:00:43Z
[오은영 소통✨특강] 내가 널 어떻게 키웠는데! vs. 엄마 때문에 상처받았어! 오은영 박사의 부모 자식 대화법! | KBS 아침마당 2020.05.14 방송,2902104,43318,KBS 다큐,2023-06-04T05:00:08Z
"처음 꺼내는 오 박사의 이야기😢 ""가족이기 때문에..""",395599,5075,play 채널A,2024-06-28T05:19:20Z
[#밥친구] 은행 VIP에 소문난 짠순이(?) 전원주! 가족들이 본인을 돈으로 보는 것 같다는데? 돈과 그녀의 이야기 #전원주 | 오은영의 금쪽 상담소 130 회,747562,9456,채널A WORLD,2024-05-09T13:00:35Z
"[#밥친구] ""이건 무례한 거예요"" 적나라하게 솔직한 #이상아 를 향한 오박사의 팩폭! | 오은영의 금쪽 상담소 79회",1871172,13174,채널A WORLD,2023-12-27T11:00:29Z
존경하는 이를 따라 한다?! 지나친 동일시의 단점은?? | 오은영의 금쪽 상담소 144 회,13324,74,play 채널A,2024-08-09T12:14:49Z
뮤지컬 디바 옥주현의 충격적인 과거 고백! | #금쪽상담소 112 회,451104,2340,play 채널A,2023-12-26T12:44:19Z
[#밥친구] 숨 쉬듯 받는 협박과 고소 😣 전쟁 같은 이혼 전문 변호사의 일상 | 오은영의 금쪽 상담소 141 회,83813,846,채널A WORLD,2024-07-25T13:00:56Z
[#금쪽상담소] 이혼 전문 변호사의 딜레마 | 오은영의 금쪽 상담소 141 회,31152,199,play 채널A,2024-07-18T12:46:48Z
[#금쪽상담소] 오직 엄마를 위해 선택한 결혼! 자신을 잊어버린 노현희에 결국 오 박사 호통 | 오은영의 금쪽 상담소 138 회,161421,905,play 채널A,2024-06-27T12:49:55Z
