title,view_count,like_count,channel_name,published
아이들 앞에서 터진 모녀 갈등♨♨ 결혼마저 친정 엄마 탓하는 이유 | 요즘 육아 금쪽같은 내새끼 205 회,50656,125,play 채널A,2024-08-31T09:43:24Z
[#캔모아] !!에어컨 금지!! 흑염소까지 먹인다?! 엄마의 과잉 보호가 만든 금쪽이의 상태(ㄷㄷ) | 요즘 육아 금쪽같은 내새끼 204 회,325526,1440,play 채널A,2024-08-24T11:36:31Z
[예고] 오 박사마저 포기했다?! 엄마를 속이고 비웃는 지능형 금쪽이의 두 얼굴 | 요즘 육아 금쪽같은 내새끼 206 회,124984,251,play 채널A,2024-08-30T12:47:40Z
[#캔모아] 매일같이 술 먹고 싸운다!? 어린 딸이 늘 긴장 속에 사는 이유(ㄷㄷ) | 요즘 육아 금쪽같은 내새끼 203 회,293627,1385,play 채널A,2024-08-17T11:36:06Z
"[#캔모아] 선택적 함구증 금쪽이, 할머니 포기시킨 금쪽이의 고집(ㄷㄷ) | 요즘 육아 금쪽같은 내새끼 205 회",167819,868,play 채널A,2024-08-31T11:31:13Z
[#캔모아] 충격적인 엄마의 위생관념(ㄷㄷ) 집안에 방치된 배설물과 음쓰?! | 요즘 육아 금쪽같은 내새끼 193 회,2400125,12892,play 채널A,2024-05-25T11:33:54Z
[#캔모아] 절도가 습관이 된 금쪽이(?) 엄마 훈육만 무시하는 두 얼굴을 가진 이유(ㄷㄷ) | 요즘 육아 금쪽같은 내새끼 196 회,580896,3635,play 채널A,2024-06-15T11:55:22Z
[#캔모아] 쉼터까지 다녀온 금쪽이!? 영재 금쪽이 돌변하게 만든 엄마의 행동은?? | 요즘 육아 금쪽같은 내새끼 188 회,1414635,10008,play 채널A,2024-04-20T11:58:36Z
[#금쪽이] 아들 성장 방해하는 건강 염려증 엄마🚨 제작진까지 긴급 개입해서 참견 말릴 정도;; | 금쪽같은 내새끼 205회,463948,1511,play 채널A,2024-08-30T12:40:00Z
[예고] 엄마 없인 하루도 못 산다?! 화목해 보였던 오 남매의 실체 공개♨♨ | 요즘 육아 금쪽같은 내새끼 200 회,8091,47,play 채널A,2024-07-12T14:44:55Z
"[#금쪽이] ""엄마가 의사입니까!?"" 아들을 망치는 엄마의 심각한 건강 염려증! 결국 오은영 일침💥 | 금쪽같은 내새끼 204회",296890,1398,play 채널A,2024-08-23T12:40:02Z
금쪽이 분노의 얼굴 공격?! 장난감 망치 뺏기로 시작된 추격전! | 요즘 육아 금쪽같은 내새끼 47 회,1376376,7965,play 채널A,2021-04-30T12:32:14Z
[#캔모아] //분노 주의// 아빠 몰래 행해오던 엄마의 폭력!? 학대 수준인 엄마의 충격 행동(ㄷㄷ)  | 요즘 육아 금쪽같은 내새끼 197 회,2548562,15146,play 채널A,2024-06-29T11:33:09Z
[#밥친구] 댄스 신동 금쪽이의 위태로운 충격 반전 일상💥 분노 조절과 성(性)충동 조절이 어려운 ADHD 금쪽이 | 금쪽같은 내새끼 132회,404426,2322,채널A WORLD,2024-08-01T03:00:41Z
[#캔모아] 엄마의 과도한 절약 습관이 원인?! 오박사가 심각하게 조언한 위기의 상태♨♨  | 요즘 육아 금쪽같은 내새끼 186 회,1719093,10980,play 채널A,2024-04-06T12:50:02Z
[예고] 금쪽이는 6학년 이하의 수준?! 솔루션 도중 나타난 모녀 갈등 | 요즘 육아 금쪽같은 내새끼 205 회,28838,80,play 채널A,2024-08-23T13:34:06Z
카메라 철수하자 나온 본모습?! 돌변한 금쪽이와 할머니 태도 | 요즘 육아 금쪽같은 내새끼 191 회,655637,1292,play 채널A,2024-05-11T14:09:46Z
[#캔모아] 설거지 부탁하자 싸늘해졌다!? 친정엄마마저 눈치 보게 만든 남편;; | 요즘 육아 금쪽같은 내새끼 200 회,247080,1140,play 채널A,2024-07-20T11:45:23Z
[#밥친구] 엄마의 수상한 집착과🤫 불안에 떠는 금쪽이의 소변 실수 전쟁💥 6세 딸이 하루에 5번 이상 바지를 갈아입는 이유는? | 금쪽같은 내새끼 133회,964462,5805,채널A WORLD,2024-08-06T03:00:09Z
[#캔모아] 엄마가 사라진 사이 시작된 누나의 폭력?! 금쪽이가 홀로 견뎌온 고통 | 요즘 육아 금쪽같은 내새끼 194 회,2109492,15552,play 채널A,2024-06-01T11:35:06Z
[#캔모아] 오박사 분노♨ 조부모에게 책임 전가(?) 책임은커녕 핑계만 늘어두며 랜선 육아하는 엄마 #오은영 #금쪽같은내새끼 | 요즘 육아 금쪽같은 내새끼 185 회,1680099,11850,play 채널A,2024-03-30T11:38:26Z
엄마의 잘못된 생각 #금쪽같은내새끼,5686,66,채널에이드: 채널A Drama & Enjoy,2024-09-03T10:00:14Z
금쪽이 엄마 말리는 제작진 #금쪽같은내새끼,12508,109,채널에이드: 채널A Drama & Enjoy,2024-09-03T10:01:03Z
[#밥친구] (금쪽이 46회 풀버전) 오박사 긴장하게 만든 공포의 3남매! 망치를 든 막내의 아찔한 돌발 행동부터 난투극까지 | 금쪽같은 내새끼 46회,885341,5499,채널A WORLD,2023-12-16T03:00:03Z
[#밥친구] 🚨실제 상황! 집 나가라고 고함지르는 아빠🤬 VS 부모를 향해 욕설하는 사춘기 아들💥 엄마는 평소 과도하게 통제를 하고 있다?🚫 | 금쪽같은 내새끼 121회,2428096,18626,채널A WORLD,2024-06-25T03:00:06Z
[#밥친구] 벌러덩~ 매일 더러운 길바닥에 누워 귀가 거부하는 36개월 언어 천재 금쪽이👶 이렇게까지 집에 들어가기 싫어하는 이유는?🤔 | 금쪽같은 내새끼 124회,211303,1770,채널A WORLD,2024-07-04T03:00:00Z
"[#금쪽이] ""이혼해"" 아이가 앞에서 울어도 부부 싸움은 멈추지 않는 엄마와 아빠 | 금쪽같은 내새끼 202회",111167,474,play 채널A,2024-08-09T12:40:00Z
엄마랑 할머니가 싸운다... #금쪽같은내새끼,8058,61,채널에이드: 채널A Drama & Enjoy,2024-09-03T10:00:37Z
"[#캔모아] 4세 아이에겐 가혹했던 운명, 아빠를 떠나보낸 뒤 달라진 금쪽이의 삶 | 요즘 육아 금쪽같은 내새끼 201 회",399484,3401,play 채널A,2024-07-27T11:41:16Z
"[#금쪽이] 자존감 잃고 깊은 수치심 느끼는 아들, 한여름에 온몸을 꽁꽁 싸매고 다닌다? | 금쪽같은 내새끼 204회",336898,1246,play 채널A,2024-08-23T12:40:00Z
[#금쪽이] 5세 딸과 매일 싸우는 철없는 엄마💥 센 언니 포스 장착하고 딸 째려보는 중ㄷㄷ | 금쪽같은 내새끼 203회,313499,1051,play 채널A,2024-08-16T12:40:00Z
나보다 가족이 우선!? 생계에 지쳐가는 엄마의 삶 | 요즘 육아 금쪽같은 내새끼 200 회,89352,128,play 채널A,2024-07-20T11:58:39Z
[#캔모아] 남편의 감시 속에 살고 있다?! 아내에게 집착하는 이유 | 요즘 육아 금쪽같은 내새끼 202 회,849472,4022,play 채널A,2024-08-10T12:44:10Z
라면 완성 #금쪽같은내새끼,6627,74,채널에이드: 채널A Drama & Enjoy,2024-09-03T10:00:05Z
[#금쪽이] 갑자기 용돈 뺏어가는 엄마? 아들은 억울함에 눈물 폭발ㅠㅠ | 금쪽같은 내새끼 187회,1558541,8636,play 채널A,2024-04-12T12:40:02Z
[#금쪽이] 울고 있는 엄마에게 할 말은 해야겠다는 오은영 박사! | 금쪽같은 내새끼 145회 #오은영 #ADHD,1828901,7915,play 채널A,2023-05-10T22:00:12Z
"[#금쪽이] ""도와주세요"" 누나의 수상한 행동에 두려움 떠는 동생, 보호자인 엄마는 무심하다? | 금쪽같은 내새끼 194회",1544532,11293,play 채널A,2024-05-31T12:40:01Z
[#톡쏘능] 5분에 한 번씩 전화는 기본👿 집에서는 CCTV로 외국인 아내 감시하는 19살 연상 남편💢 | #금쪽같은내새끼 202회,338192,1682,채널에이드: 채널A Drama & Enjoy,2024-08-13T09:00:45Z
[#톡쏘능] 파르르😱겁에 질려 눈물 흘리는 금쪽이를 보고 심각해진 오박사 할머니👿향해 단호한 일침 날려🔥 | #금쪽같은내새끼 191회,1242396,7708,채널에이드: 채널A Drama & Enjoy,2024-05-14T09:00:36Z
[#캔모아] //교육X// 금쪽 남매의 충격적인 놀이?! 생사 외엔 무관심한 엄마의 과잉보호 탓;; | 요즘 육아 금쪽같은 내새끼 195 회,324622,1688,play 채널A,2024-06-08T12:00:35Z
금쪽이 자극하는 할머니 #금쪽같은내새끼,5031,39,채널에이드: 채널A Drama & Enjoy,2024-09-03T10:00:34Z
[#금쪽이몰아보기] 애가 조금만 아파도 덜덜💦 예비 중1 아들을 망친 엄마의 건강 염려증💥 | 금쪽같은 내새끼,16311,58,play 채널A,2024-09-01T00:00:19Z
[#금쪽이몰아보기] 아빠에게 무자비한 언행과 공격하는 아들💥 엄마 보고 배운 행동들이다? | 금쪽같은 내새끼,578549,3070,play 채널A,2024-06-29T00:00:24Z
"[#금쪽이] ""체벌 아니에요, 이건 패는 겁니다"" 엄마의 공격적인 행동에 심각해진 오은영 | 금쪽같은 내새끼 197회",1210871,5538,play 채널A,2024-06-28T12:40:00Z
부부싸움 중 망언 투척(?),1851383,11708,play 채널A,2023-10-16T01:57:45Z
말하고 싶어 #금쪽같은내새끼,3239,38,채널에이드: 채널A Drama & Enjoy,2024-09-03T10:00:10Z
[#캔모아] //분노 주의// 아빠 몰래 행해오던 엄마의 폭력!? 학대 수준인 엄마의 충격 행동(ㄷㄷ)  | 요즘 육아 금쪽같은 내새끼 197 회,2548562,15146,play 채널A,2024-06-29T11:33:09Z
오은영 쌤의 카리스마,8445752,128603,play 채널A,2023-11-24T14:07:20Z
[#금쪽이] 아들 성장 방해하는 건강 염려증 엄마🚨 제작진까지 긴급 개입해서 참견 말릴 정도;; | 금쪽같은 내새끼 205회,463948,1511,play 채널A,2024-08-30T12:40:00Z
혹시 조현병 증상? 눈에서 살기가 느껴지는 금쪽이,6662663,77841,채널에이드: 채널A Drama & Enjoy,2024-03-27T04:08:34Z
폭발한 모녀 갈등 #금쪽같은내새끼,104182,555,play 채널A,2024-08-30T12:51:29Z
"[#금쪽이] ""엄마가 의사입니까!?"" 아들을 망치는 엄마의 심각한 건강 염려증! 결국 오은영 일침💥 | 금쪽같은 내새끼 204회",296890,1398,play 채널A,2024-08-23T12:40:02Z
엄마의 과잉보호 #금쪽같은내새끼,677106,5760,play 채널A,2024-06-07T13:54:53Z
[#밥친구] 댄스 신동 금쪽이의 위태로운 충격 반전 일상💥 분노 조절과 성(性)충동 조절이 어려운 ADHD 금쪽이 | 금쪽같은 내새끼 132회,404426,2322,채널A WORLD,2024-08-01T03:00:41Z
아빠 머리 꼭대기에 있는 늦둥이 금쪽이 #금쪽같은내새끼,394773,3453,채널에이드: 채널A Drama & Enjoy,2024-05-02T08:30:09Z
