title,view_count,like_count,channel_name,published
김정은 건강 적신호(?) 북 외교관이 하는 김정은 수명 예측 | 이제 만나러 갑니다 662 회,81843,735,play 채널A,2024-09-01T15:18:10Z
[#이만갑모아보기] 김정은을 숙청하라! 북한을 뒤집어 놓은 北 저항 세력 '새조선' #반북단체 #새조선 | 이제 만나러 갑니다 661 회,140948,1944,play 채널A,2024-08-25T15:33:37Z
[#이만갑모아보기] ＂경멸스럽게 쳐다볼 것＂ 북한 유학생이 한국 유학생을 만나면 하는 행동 #북한 #유학생 | 이제 만나러 갑니다 660 회,74220,961,play 채널A,2024-08-18T15:31:19Z
수해 현장을 직접 찾았다!? 위험천만(?) 김정은 방문기 ㅋㅋㅋ | 이제 만나러 갑니다 662 회,10495,88,play 채널A,2024-09-01T14:39:34Z
북한에 쏟아진 역대급 폭우(ㄷㄷ) 김정은이 비상사태 선포한 이유 | 이제 만나러 갑니다 662 회,19571,199,play 채널A,2024-09-01T14:17:46Z
진실 혹은 연출? 수해 지역 방문한 김정은의 진짜 의도 | 이제 만나러 갑니다 662 회,5662,70,play 채널A,2024-09-01T14:48:15Z
알고 보니 침수차!? #이제만나러갑니다,12761,140,play 채널A,2024-09-01T16:10:10Z
정상 국가인척하려는 속셈(?) 북한이 폭우 피해를 공개한 진짜 이유 | 이제 만나러 갑니다 662 회,19191,237,play 채널A,2024-09-01T14:28:42Z
[#이만갑모아보기] 김정은 남은 수명 3년!? 건강 이상설의 모든 것 #김정은 #수명 #후계자 | 이제 만나러 갑니다 662 회,96905,1017,play 채널A,2024-09-01T15:33:06Z
물에 빠질 뻔 #이제만나러갑니다,7818,71,play 채널A,2024-09-01T16:10:31Z
뾰루지의 진실 #이제만나러갑니다,7563,97,play 채널A,2024-09-01T16:09:38Z
한국 드라마 봤다고 北 중학생 30명 공개 처형?! 사건의 진실은? | 이제 만나러 갑니다 661 회,31033,343,play 채널A,2024-08-26T14:24:40Z
김정은의 후계자는?? #이제만나러갑니다,8602,157,play 채널A,2024-09-01T16:09:20Z
[#밥친구] 김정은 뒷목 잡게 하는 유학생의 일탈?! 서로가 서로를 감시하는 北 유학생😥 | #이제만나러갑니다 660회,200542,3062,채널A WORLD,2024-08-25T13:00:11Z
[#밥친구] 8년 만에 올림픽 복귀한 북한! 前 국가대표가 폭로하는 북한의 열악한 운동 환경😥 | #이제만나러갑니다 658회,266687,2425,채널A WORLD,2024-08-11T13:00:44Z
[#이만갑모아보기] 6년 만에 재개한 대북 확성기! 北에 K-팝이 퍼지고 있다? #북한 #대북확성기 | 이제 만나러 갑니다 654 회,167509,2546,play 채널A,2024-07-07T15:40:11Z
＂듣던 중 반가운 소리네＂ 비일비재한 간부 상대의 살인 사건;; 긴장하는 김정은  | 이제 만나러 갑니다 661 회,57742,609,play 채널A,2024-08-26T14:48:03Z
북한에서 난리난 한류 #이제만나러갑니다,105783,4051,play 채널A,2024-07-07T15:37:36Z
"北에서 한국 콘텐츠에 진심이었던(?) 목선 탈출 주인공의 형, 김일혁! | 이제 만나러 갑니다 659 회",134385,1391,play 채널A,2024-08-12T14:30:54Z
"[#밥친구] 김정은이 가장 아낀다는 곳! 감시와 도청은 기본인 북한 of 북한, 자강도의 비밀! | #이제만나러갑니다 646회",392803,3964,채널A WORLD,2024-05-19T13:00:06Z
위험한 나뭇잎 지뢰 #이제만나러갑니다,4013,28,play 채널A,2024-09-01T16:09:53Z
심할 경우 교화형에 사형까지?! 유학생 사회에 긴장감 불어넣는 북한 | 이제 만나러 갑니다 660 회,16620,162,play 채널A,2024-08-19T14:21:26Z
"[#밥친구] 위장 취업, 돈세탁, 그리고 밀수까지?! 北 불법 자금의 비밀🔥 | #이제만나러갑니다 657회",120650,1374,채널A WORLD,2024-08-04T13:01:06Z
[#밥친구] 충성? 그쯤이야 돈으로 사겠어! 간부들 휘어잡을 선물 공세 펼치는 김정은  | #이제만나러갑니다 645회,465047,4753,채널A WORLD,2024-05-12T13:00:21Z
'맥도날X'를 보고 탈북을 결심하다?! 北 엘리트 유학생이 망명하는 결정적 이유 | 이제 만나러 갑니다 600 회,519198,3788,play 채널A,2023-06-19T17:00:46Z
"[#이만갑모아보기] 北 내부 영상 입수! 먹고 살기 위해 빼앗고, 아이들은 버려지는 충격적인 현실 #북한 #내부현실 | 이제 만나러 갑니다 659 회",364350,3599,play 채널A,2024-08-11T15:43:57Z
